"Read Details","Lees details"
"New Newsletter Template","Nieuwe nieuwsbrief-sjabloon"
"Template Information","Template informatie"
"Template Name","Template naam"
"Template Subject","Template onderwerp"
"Template Content","Template inhoud"
"Template Styles","Template Stijl"
"No Templates Found","Geen sjablonen gevonden"
Added,Toegevoegd
Updated,Bijgewerkt
Sender,Afzender
"Template Type","Template soort"
Action,Actie
"Queue Newsletter","Wachtrij nieuwsbrief"
"We unsubscribed the people you identified.","We hebben de mensen uitgeschreven die u geÃ¯dentificeerd heeft."
"The problems you identified have been deleted.","De problemen die u vaststelde werden verwijderd."
"Newsletter Problems Report","Nieuwsbrief probleemrapporten"
"Newsletter Problem Reports","Nieuwsbrief probleemrapporten"
"Newsletter Queue","Nieuwsbrief wachtrij"
"Edit Queue","Wachtrij bewerken"
"Please correct the newsletter template and try again.","Corrigeer het nieuwsbriefsjabloon en probeer opnieuw."
"You saved the newsletter queue.","U heeft de nieuwsbrief wachtrij opgeslagen."
"Newsletter Subscribers",Nieuwsbriefabonnees
Newsletter,Nieuwsbrief
Subscribers,Abonnees
"Please select one or more subscribers.","Selecteer een of meerdere abonnees."
"Total of %1 record(s) were deleted.","Totaal van %1 record(s) werden verwijderd."
"A total of %1 record(s) were updated.","%1 records zijn bijgewerkt."
"The newsletter template has been deleted.","Het nieuwsbriefsjabloon werd verwijderd."
"We can't delete this template right now.","We kunnen dit sjablaan momenteel niet vinden."
"Edit Template","Template bewerken"
"New Template","Nieuw sjabloon"
"Create Newsletter Template","Nieuwsbrief-sjabloon aanmaken"
"The newsletter template has been saved.","Het nieuwsbriefsjabloon werd opgeslaan."
"Something went wrong while saving this template.","Er ging iets fout bij het opslaan van dit sjabloon."
"Newsletter Subscription",Nieuwsbriefabonnement
"Something went wrong while saving your subscription.","Er ging iets mis bij het opslaan van uw abonnement."
"We saved the subscription.","We hebben het abonnement opgeslagen."
"We removed the subscription.","We hebben het abonnement verwijderd."
"Your subscription has been confirmed.","Uw inschrijving is bevestigd."
"This is an invalid subscription confirmation code.","De confirmatie code voor het abonnement is ongeldig."
"This is an invalid subscription ID.","Dit is een ongeldig abonnementsID."
"This email address is already assigned to another user.","Dit E-Mailadres is al toegewezen aan een andere gebruiker."
"Sorry but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","Inschrijving is uitsluitend voorbehouden aan geregistreerde klanten. <a href=""%1"">Registreer</a> u."
"Please enter a valid email address.","Vul een geldig e-mailadres in"
"The confirmation request has been sent.","De bevestigingsaanvraag werd verzonden."
"Thank you for your subscription.","Bedankt voor uw inschrijving."
"There was a problem with the subscription: %1","Er is een probleem met uw inschrijving: %1"
"Something went wrong with the subscription.","Er ging iets mis met het abonnement."
"You unsubscribed.","Uw abonnement werd opgezegd."
"Something went wrong while unsubscribing you.","Er ging iets mis tijdens het uitschrijven."
Sent,Verstuurd
Cancelled,Geannuleerd
"Not Sent","Niet verzonden"
Sending,"Bezig met verzenden"
Paused,Gepauzeerd
"There are no subscribers selected.","Er zijn geen abonnees geselecteerd."
"You selected an invalid queue.","U heeft een ongeldige wachtrij geselecteerd."
"We cannot mark as received subscriber.","We kunnen niet registreren als ontvangen abonnee."
"Duplicate template code","Dubbele sjabloon code"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Klik op deze link om u uit te schrijven <!-- This tag is for unsubscribe link --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"No such entity with %fieldName = %fieldValue","Geen dergelijke entiteit met %fieldName = %fieldValue"
"Choose Store View:","Selecteer Winkelaanzicht:"
"Newsletter Message Preview","Preview nieuwsbrief-bericht"
"Add to Queue","Aan wachtrij toevoegen"
"Are you sure that you want to strip all tags?","Weet u zeker dat u alle tags wilt ontkoppelen?"
"Please enter a new template name.","Geef een nieuwe sjabloonnaam op."
"Are you sure you want to delete this template?","Weet u zeker dat u dit sjabloon wilt verwijderen?"
"Sign Up for Our Newsletter:","Abonneer u op onze nieuwsbrief"
"Enter your email address","Voer uw e-mailadres in"
Subscribe,Inschrijven
"Make Check payable to:","Maak overboeking naar:"
"Send Check to:","Maak overboeking naar:"
"Purchase Order Number","Inkoop ordernummer"
"Make Check payable to: %1","Maak overboeking naar: %1"
"Purchase Order Number: %1","Inkooporder: %1"
"Make Check payable to","Maak overboeking naar"
"Send Check to","Maak overboeking naar"
Country,Land
Region/State,Provincie
"Zip/Postal Code",Postcode
"Shipping Price",Verzendkosten
"Export CSV","CSV exporteren"
"Store Pickup",Afhalen
"Weight vs. Destination","Gewicht versus bestemming"
"Price vs. Destination","Prijs versus bestemming"
"# of Items vs. Destination","# artikelen versus bestemming"
"Weight (and above)","Gewicht (en daarboven)"
"Order Subtotal (and above)","Subtotaal bestelling (en hierboven)"
"# of Items (and above)","# artikelen (en hierboven)"
"Please correct Table Rate code type: %1.","Corrigeer tabel tarief code type: %1."
"Please correct Table Rate code for type %1: %2.","Corrigeer tabel tarief code voor type %1: %2."
None,Geen
"Per Order","Per bestelling"
"Per Item","Per artikel"
"Unable to import data","Kan gegevens niet importeren"
"Something went wrong while importing table rates.","Er is iets fout gegaan tijdens het importeren van de tarieven."
"We couldn't import this file because of these errors: %1","We konden dit bestand niet importeren vanwege de volgende fouten: %1"
"Requested column ""%1"" cannot be resolved","Gevraagde kolom ""%1"" kan niet worden opgehaald"
"Column ""%1"" not found","Kolom ""%1"" niet gevonden"
"Please correct Table Rates format in the Row #%1.","Corrigeer de Tarieven indeling in de rij #%1."
"Please correct Country ""%1"" in the Row #%2.","Corrigeer Land '%1' in de rij #%2."
"Please correct Region/State ""%1"" in the Row #%2.","Corrigeer de regio/staat '%1' in de rij #%2."
"Please correct %1 ""%2"" in the Row #%3.","Corrigeer %1 '%2' in de rij #%3."
"Please correct Shipping Price ""%1"" in the Row #%2.","Corrigeer verzendingsprijs ""%1"" in de rij #%2."
"Duplicate Row #%1 (duplicates row #%2)","Dubbele rij #%1 (duplicaat van rij #%2)"
"Please correct Table Rates File Format.","Corrigeer Tabel Tarieven bestandsindeling."
No,Nee
"For matching items only","Alleen voor betreffende artikelen"
"For shipment with matching items","Voor een zending met betreffende artikelen"
"Export VCL for Varnish %1","VCL exporteren voor Varnish %1"
"Ttl value ""%1"" is not valid. Please use only numbers equal or greater than zero.","TTL waarde '%1' is niet geldig. Gebruik alleen getallen gelijk aan of groter dan nul."
"Built-in Cache","Ingebouwde Cache"
"Varnish Cache (Recommended)","Varnish Cache (aanbevolen)"
"We cannot retrieve the payment method model object.","Kan modelobject betaalmethode niet ophalen."
Month,maand
Year,Jaar
"We cannot retrieve the payment info model object.","Kan modelobject betaalinformatie niet ophalen."
N/A,n.v.t.
"Credit Card Type",Creditcard-maatschappij
"Credit Card Number",Creditcard-nummer
"Switch/Solo/Maestro Issue Number","Switch/Solo/Maestro uitgiftenummer"
"Switch/Solo/Maestro Start Date","Begindatum Switch/Solo/Maestro"
"We cannot retrieve the transparent payment method model object.","Kan modelobject transparante betalingsmethode niet ophalen."
"Command Executor for %1 is not defined.","Opdracht Executor voor %1 is niet gedefinieerd."
"Command %1 does not exist.","Opdracht %1 bestaat niet."
"Transaction has been declined. Please try again later.","Transactie is afgewezen. Probeer het later nog eens."
"Wrong gateway response format.","Verkeerd antwoord formaat van gateway."
"Validator for field %1 does not exist.","Validator voor veld %1 bestaat niet."
Discount,Korting
Shipping,Aflevering
"All Allowed Countries","Alle toegestane landen"
"Specific Countries","Bepaalde landen"
"The payment method you requested is not available.","De betalingsmethode die u hebt aangevraagd is niet beschikbaar."
"The payment disallows storing objects.","De betaling verbiedt objecten op te slaan."
"We cannot retrieve the payment method code.","Kan de code voor betalingswijze niet ophalen."
"We cannot retrieve the payment information object instance.","Kan het objectexemplaar betalingsinformatie niet ophalen."
"You can't use the payment type you selected to make payments to the billing country.","U kunt het betalingstype dat u geselecteerd heeft om te betalen niet gebruiken voor het land van uw factuuradres."
"The order action is not available.","De bestel actie is niet beschikbaar."
"The authorize action is not available.","De autorisatie actie is niet beschikbaar."
"The capture action is not available.","De vastleggen actie is niet beschikbaar."
"The refund action is not available.","De restitutie actie is niet beschikbaar."
"The void action is not available.","De nietig actie is niet beschikbaar."
"The payment review action is unavailable.","De betaalcontrole is niet beschikbaar"
"The credit card number doesn't match the credit card type.","Het creditcardnummer komt niet overeen met het type creditcard."
"Invalid Credit Card Number","Ongeldig credit card nummer"
"This credit card type is not allowed for this payment method.","Deze creditcard is niet toegestaan voor deze betaalwijze."
"Please enter a valid credit card verification number.","Geef een geldig credit card verificatie nummer op."
"Please enter a valid credit card expiration date.","Voer een geldige credit card vervaldatum in."
"%1 class doesn't implement \Magento\Payment\Model\MethodInterface","klasse %1 implementeert de \Magento\Payment\Model\MethodInterface niet"
Yes,Ja
No,Nee
"Failure #1","Fout #1"
"Failure #2","Fout #2"
"Expiration Date",Vervaldatum
"Card Verification Number",Verificatienummer
"Please Select",Selecteer
"We'll ask for your payment details before you place an order.","Wij zullen vragen om uw betalingsgegevens voordat u een bestelling plaatst."
"--Please Select--","--Maak een keuze--"
"Card Verification Number Visual Reference","Visuele referentie Kaartverificatienummer"
"What is this?","Wat is dit?"
"Credit Card Information",Creditcard-informatie
"Billing Agreements",Incasso-overeenkomsten
Email,E-mail
"First Name",Voornaam
"Last Name",Achternaam
"Reference ID",Referentie-ID
Created,Aangemaakt
N/A,n.v.t.
Updated,Bijgewerkt
Back,Terug
"Are you sure you want to do this?","Weet u zeker dat u dit wilt doen?"
Cancel,Annuleer
"Billing Agreement #%1","Incasso-overeenkomst #%1"
"General Information","Algemene informatie"
"Related Orders","Gerelateerde bestellingen"
Order,Bestelling
Purchased,Gekocht
"Bill-to Name",Factuurnaam
"Ship-to Name",Verzendnaam
"Order Total",Totaal
"Purchase Point",Verkooppunt
"Billing Agreement View","Bekijk incasso-overeenkomst"
"PayPal Settlement Reports","PayPal Overeenstemmings Rapporten"
"We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?","We maken verbinding met de PayPal SFTP server om nieuwe rapporten op te halen. Bent u zeker dat u wilt verdergaan?"
Configure,Configureren
Close,Sluiten
"Learn More","Lees verder"
"View Demo","Bekijk Demo"
"See terms","Zie voorwaarden"
"You will be redirected to the PayPal website.","U wordt doorverwezen naar de PayPal website."
"You will be redirected to the PayPal website when you place an order.","U wordt doorverwezen naar de PayPal website op het moment dat u een bestelling plaatst."
"Incl. Tax","Incl. BTW"
"Billing Information",Factuurinformatie
"Shipping Information","Bezorg Informatie"
"Invalid block type","Ongeldige bloktype"
"Please specify the correct billing agreement ID and try again.","Geef de juiste Incasso-overeenkomst-ID op en probeer opnieuw."
"You canceled the billing agreement.","U heeft de incasso-overeenkomst geannuleerd."
"We can't cancel the billing agreement.","We kunnen de facturatieovereenkomst niet annuleren."
"You deleted the billing agreement.","U heeft de incasso-overeenkomst verwijderd."
"We can't delete the billing agreement.","We kunnen de facturatieovereenkomst niet verwijderen."
Reports,Rapportages
Sales,Verkopen
"View Transaction","Bekijk transactie"
"We found nothing to fetch because of an empty configuration.","Er werd niets gevonden vanwege een lege configuratie."
"We fetched %1 report rows from ""%2@%3.""","We haalden %1 rapport rijen op van ""%2@%3."""
"We can't fetch reports from ""%1@%2.""","We kunnen geen rapporten ophalen voor ""%1@%2."""
"The billing agreement ""%1"" has been canceled.","De incasso-overeenkomst ""%1"" is geannuleerd."
"The billing agreement ""%1"" has been created.","De incasso-overeenkomst ""%1"" is aangemaakt."
"We couldn't finish the billing agreement wizard.","We kunnen de facturatieovereenkomst wizard niet voltooien."
"We can't start the billing agreement wizard.","We kunen de facturatieovereenkomst wizard niet starten."
"Billing Agreement # %1","Incasso-overeenkomst # %1"
"We can't initialize Express Checkout.","Wij kunnen de express betaling niet initialiseren."
"A wrong PayPal Express Checkout Token is specified.","Er werd een onjuist PayPal Express Checkout Token opgegeven."
"Express Checkout and Order have been canceled.","Express Checkout en de bestelling zijn geannuleerd."
"Express Checkout has been canceled.","Express Checkout is geannuleerd"
"Unable to cancel Express Checkout","Niet mogelijk om Express Checkout te annuleren"
"Please agree to all the terms and conditions before placing the order.","Accepteer onze Algemene Voorwaarden voordat u de bestelling plaatst."
"We can't place the order.","We kunnen de bestelling niet plaatsen."
"We can't process Express Checkout approval.","We kunnen de Express betalingskeuring niet verwerken."
"We can't initialize Express Checkout review.","Kan de Express Checkout review niet initialiseren."
"We can't update shipping method.","We kunnen de verzendwijze niet bijwerken."
"We can't start Express Checkout.","We kunnen Express Checkout niet starten."
"To check out please sign in with your email address.","Om af te rekenen log in met uw e-mail adres."
"Sorry but something went wrong","Er ging iets mis"
"Your payment has been declined. Please try again.","Uw betaling is afgewezen. Probeer het opnieuw."
"Requested payment method does not match with order.","Gevraagde betalingsmethode komt niet overeen met bestelling."
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","Wilt u een incasso-overeenkomst aanmaken om toekomstige bestellingen met PayPal te stroomlijnen?"
"Error processing payment please try again later.","Er is een fout opgetreden tijdens het betalingsproces probeer het later opnieuw."
"Payment Gateway is unreachable at the moment. Please use another payment option.","Op dit moment is de Payment Gateway onbereikbaar. Gebruik een andere betalingsoptie."
"Something went wrong while processing your order.","Er ging iets mis tijdens het verwerken van uw bestelling."
"PayPal gateway has rejected request. %1","PayPal gateway heeft de aanvraag geweigerd. %1"
"The PayPal gateway rejected the request. %1","De PayPal gateway heeft de aanvraag geweigerd. %1"
"I'm sorry - but we were not able to process your payment. Please try another payment method or contact us so we can assist you.","Helaas we konden jouw betaling niet voltooien. Probeer een andere betalingsmethode of neem contact op zodat we u verder kunnen helpen."
"I'm sorry - but we are not able to complete your transaction. Please contact us so we can assist you.","Het spijt me - maar wij zijn niet in staat om uw transactie te voltooien. Neem contact met ons op zodat wij u kunnen helpen."
"A match of the Shipping Address City State and Postal Code failed.","Een match van de velden Plaats Staat en Postcode van het Verzendadres is mislukt."
"The payment method code is not set.","De code van betalingsmethode is niet ingesteld."
"The reference ID is not set.","De referentie-ID is niet ingesteld."
"Unable to save Billing Agreement:","Niet mogelijk om incasso-overeenkomst op te slaan:"
Active,Actief
Canceled,Geannuleerd
"The customer ID is not set.","De klant-ID is niet ingesteld."
"The Billing Agreement status is not set.","De incasso-overeenkomst-status is niet ingesteld."
"The PayPal certificate does not exist.","Het PayPal-certificaat bestaat niet."
"We prefer PayPal (150 X 60)","Wij prefereren PayPal (150 X 60)"
"We prefer PayPal (150 X 40)","Wij prefereren PayPal (150 X 40)"
Dynamic,Dynamisch
Static,Statisch
Shortcut,Sneltoets
"Acceptance Mark Image","Acceptatie-indicatie afbeelding"
Authorization,Autorisatie
Sale,Verkoop
Yes,Ja
No,Nee
Auto,Automatisch
"Ask Customer","Vraag klant"
Never,Nooit
"IPN (Instant Payment Notification) Only","Alleen IPN (Instant Payment Notification)"
"API Signature","API handtekening"
"The ordering amount of %1 is pending approval on the payment gateway.","De besteld aantal van %1 wacht op goedkeuring van de betaal gateway."
"Ordered amount of %1","Besteld totaal van %1"
"We'll authorize the amount of %1 as soon as the payment gateway approves it.","We zullen de hoeveelheid van %1 toestaan zodra de betaal gateway zijn goedkeuring geeft."
"The authorized amount is %1.","Het geautoriseerde bedrag is %1."
"PayPal can't process orders with a zero balance due. To finish your purchase please go through the standard checkout process.","PayPal kan geen bestellingen verwerken met een nul saldo. Om uw bestelling te voltooien volg het standaard checkout proces."
"A payer is not identified.","Een betaler wordt niet herkend."
"Cannot get secure form URL from PayPal","Kan geen beveiligde URL verkrijgen van PayPal"
"This customer didn't include a confirmed address.","De klant heeft geen bevestigd adres opgegeven."
"The payment eCheck is not cleared.","De betaling eCheck is niet gewist."
"The merchant holds a non-U.S. account and doesn't have a withdrawal mechanism.","De verkoper heeft een niet-Amerikaanse rekening en beschikt niet over een vorderingsmechanisme."
"The payment currency doesn't match any of the merchant's balances currency.","De valuta van betaling komt niet overeen met de mogelijke valuta van de handelaar."
"Sorry but something went wrong. Please contact PayPal customer service.","Er ging iets mis. Neem contact op met de klantenservice van PayPal."
"A reversal has occurred on this transaction due to a chargeback by your customer.","De transactie werd teruggedraaid wegens een chargeback door uw klant."
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.","De transactie werd teruggedraaid wegens het activeren van de geld-terug garantie door uw klant."
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.","De transactie werd teruggedraaid als gevolg van een klacht omtrent de transactie vanwege uw klant."
"A reversal has occurred on this transaction because you have given the customer a refund.","De transactie werd teruggedraaid aangezien u de klant heeft terugbetaald."
"Transaction reversal due to fraud detected by PayPal administrators.","De transactie is teruggedraaid als gevolg van fraude ontdekt door PayPal beheerders."
"Transaction reversal by PayPal administrators.","Transactie teruggedraaid door PayPal beheerders."
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.","De transactie werd teruggedraaid vanwege een geschil van de klant omtrent een niet-geautoriseerde actie."
"Buyer claims that he did not receive goods or service.","Koper beweert dat hij geen goederen of diensten heeft ontvangen."
"Buyer claims that the goods or service received differ from merchantâ€™s description of the goods or service.","Koper beweert dat de ontvangen waren of diensten afwijken van de door handelaar gegeven beschrijving van goederen of diensten."
"Buyer claims that he/she did not authorize transaction.","Koper beweert dat hij/zij de transactie niet gemachtigd heeft."
"A case that has been resolved and close requires a reimbursement.","Een zaak die opgelost en gesloten is vereist een vergoeding."
"Buyer claims that a possible duplicate payment was made to the merchant.","Koper beweert dat er mogelijk een dubbele betaling aan de verkoper heeft plaatsgevonden."
"Buyer claims that the received merchandise is unsatisfactory defective or damaged.","Koper beweert dat de ontvangen goederen onbevredigend defect of beschadigd zijn."
"Unknown reason. Please contact PayPal customer service.","Onbekende reden. Neem contact op met de PayPal klantenservice."
"Address Verification System Response","Antworod adresverificatie systeem"
"International AVS response","Internationale AVS reactie"
Complaint,Klacht
Dispute,Geschil
"Matched Address only (no ZIP) International","Alleen internationaal overeenkomstig adres (geen ZIP)"
"Exact Match.","Exacte overeenkomst."
"Yes. Matched Address and five-didgit ZIP","Ja. Overeenkomend adres en vijf-cijferige postcode"
"All the address information matched","Alle adresinformatie komt overeen"
"None of the address information matched","De adresinformatie komt niet overeen"
"No match","Geen match"
"Note: %1","Opmerking: %1"
"IPN ""%1"". Case type ""%2"". Case ID ""%3"" %4","IPN '%1'. Zaak type '%2'. Zaak ID '%3' %4"
"IPN ""%1"". A dispute has been resolved and closed. %2 Transaction amount %3.","IPN '%1'. Een geschil is opgelost en gesloten. %2 transactie bedrag %3."
"You notified customer about invoice #%1.","U heeft de klant in kennis gesteld over factuur #%1."
"We cannot cancel this order.","We kunnen de bestelling niet annuleren."
"IPN ""%1"". %2 Transaction amount %3. Transaction ID: ""%4""","IPN ""%1"". %2 transactiebedrag %3. Transactie-ID: ""%4"""
"You notified customer about creditmemo #%1.","U heeft de klant in kennis gesteld over creditfactuur #%1."
"Unable to fetch transaction details.","Niet in staat de transactiegegevens op te halen."
"Invalid method %1::%2","Ongeldige methode %1::%2"
"Transaction has been declined","Transactie afgewezen"
"Error processing payment. Please try again later.","Er is een fout opgetreden tijdens het betalingsproces probeer het later opnieuw."
"We cannot send the new order email.","We kunnen de nieuwe bestelling email niet verzenden."
"Payment error. %value was not found.","Betaalfout. %value is niet gevonden."
"You cannot void a verification transaction.","U kunt geen verificatie-transactie vernietigen."
"You need an authorization transaction to void.","U heeft een verificatie-transactie nodig om te kunnen vernietigen."
"We can't issue a refund transaction because there is no capture transaction.","Aangezien er geen transactie is van de overname kunnen we een transactie niet terugbetalen."
"We cannot create a target file for reading reports.","We kunnen geen doelbestand aanmaken om rapporten te lezen."
"Transaction ID",Transactie-ID
Event,Gebeurtenis
"Start Date",begindatum
"Finish Date",Einddatum
"Debit or Credit","Debit of Credit"
Custom,Aangepast
"Order ID","Bestelling ID"
"ACH Deposit (Hold for Dispute or Other Investigation)","ACH Deposit (Houd vast for conflict of ander onderzoek)"
"ACH Deposit (Reversal)","ACH Deposit (Herroeping)"
"ACH Withdrawal","ACH Opname"
"Account-to-Account Payment initiated by PayPal","Account-naar-Account Betaling op initiatief van PayPal"
"Auction Payment other than through eBay","Veilig-betaling anders dan via eBay"
"Available Balance","Beschikbaar balans"
"Balance Manager Account Bonus","Balans beheerder account bonus"
"Bonus for first ACH Use","Bonus voor eerste ACH gebruik"
"Buyer Credit Payment","Koper kredietbetaling"
"Debit Card Cash Back","Debit Card Terugbetaling"
"Debit Card Transaction","Debit Card transactie"
"General (Authorization)","Algemeen (Authorisatie)"
"General (Dividend)","Algemeen (Dividend)"
"Mobile Payment (made via a mobile phone)","Mobiele Betaling (gedaan via een mobiele telefoon)"
"Preapproved Payment (BillUser API either sent or received","Vooraf goedgekeurde betaling (BillUser API verzonden of ontvangen"
Reauthorization,"Opnieuw autoriseren"
Void,"Nietig verklaard"
"The PayPal certificate file is empty.","Het PayPal-certificaatbestand is leeg."
"Header (center)","Koptekst (midden)"
"Sidebar (right)","Sidebar (rechts)"
"Near PayPal Credit checkout button","In de buurt van PayPal Credit checkout-knop"
"--Please Select--","--Maak een keuze--"
Daily,Dagelijks
"No Logo","Geen logo"
"Yes (PayPal recommends this option)","Ja (PayPal raadt deze optie aan)"
"Created billing agreement #%1.","Incasso-overeenkomst #%1."
"We can't create a billing agreement for this order.","We kunnen voor deze order geen facturingsovereenkomst maken."
"Pending PayPal","In Behandeling Bij PayPal"
"PayPal Reversed","PayPal omgekeerd"
"PayPal Canceled Reversal","PayPal geannuleerde de omkering"
Error,Foutmelding
"Billing Agreement",Incasso-overeenkomt
"Please Select",Selecteer
Customer,Klant
"Created At","Aangemaakt Op"
"Updated At","Bijgewerkt op"
ending,"eindigend op"
expires,verloopt
here,hier
"To use PayPal Payments Advanced you must configure  your PayPal Payments Advanced account on the PayPal website.","Om de PayPal Payements Advanced te gebruiken moet u deze configureren op de PayPal website."
"Once you log into your PayPal Advanced account navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Als u inlogt op uw PayPal Advanced account navigeer naar Service Settings - Hosted Checkout Pages - Set Up menu en stel de opties in hieronder omschreven."
"To use PayPal Payflow Link you must configure your PayPal Payflow Link account on the PayPal website.","Om de PayPal Payflow Link te gebruiken moet u deze configureren op de PayPal website."
"Once you log into your PayPal Payflow Link account navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Als u inlogt op uw PayPal Payflow Link account navigeer naar Service Settings - Hosted Checkout Pages - Set Up menu en stel de opties in hieronder omschreven."
"Credit Card Type","Kredietkaart type"
"Credit Card Number",Creditcard-nummer
"Expiration Date",Expiratiedatum
"Card Verification Number",Verificatienummer
"Agreement Information",Incasso-overeenkomst-informatie
"Reference ID:",Referentie-ID:
Status:,Status
Created:,Gemaakt:
Updated:,Bijgewerkt:
"Payment Method:",Betaalmethode:
"Order #","Bestelling #"
Date,Datum
"Ship To","Verzenden aan"
"Order Status","Bestelling Status"
"View Order","Bestelling bekijken"
"Back to Billing Agreements","Terug naar incasso-overeenkomsten"
"Payment Method",Betaalmethode
View,Bekijk
"There are no billing agreements yet.","Er zijn (nog) geen incasso-overeenkomsten."
"New Billing Agreement","Nieuwe incasso-overeenkomst"
"You will be redirected to the payment system website.","U wordt doorgestuurd naar de beveiligde betaalomgeving."
"-- Please Select --","-- Selecteer Alstublieft --"
Create...,Aanmaken...
"Your credit card will be charged for","Uw creditcard zal in rekening gebracht worden voor"
"Shipping Method",Verzendmethode
"Please select a shipping method...","Selecteer een verzendmethode"
"Update Shipping Method","Update verzendmethode"
"Sorry no quotes are available for this order right now.","Geen quotes gevonden voor deze bestelling."
"Shipping Address",Bezorgadres
Edit,Bewerken
"Buy now with PayPal","Nu kopen met PayPal"
"Edit Payment Information","Betalingsgegevens bewerken"
"Items in Your Shopping Cart","Producten in uw winkelwagen"
"Edit Shopping Cart","Winkelwagen bewerken"
"Place Order","Plaats bestelling"
"Submitting order information...","Informatie van de bestelling wordt opgeslagen..."
Price,Prijs
Qty,Aantal
Subtotal,Subtotaal
"Please update order data to get shipping methods and rates","Update gegeven bestelling voor verzendmethodes en -kosten"
or,of
Continue,Doorgaan
"Additional Options","Extra opties"
"-- Please Select Billing Agreement--","-- Selecteer incasso-overeenkomst--"
"Acceptance Mark",Acceptatie-indicatie
"What is PayPal?","Wat is PayPal"
"Sign a billing agreement to streamline further purchases  with PayPal.","Teken een incasso-overeenkomst om verdere aankopen met PayPal te stroomlijnen."
"Not you?","Bent u het niet?"
"Your shopping cart has been updated with new prices.","Uw winkelwagen is bijgewerkt met de nieuwe prijzen."
"Welcome %1!","Welkom %1!"
"We cannot load the configuration from file %1.","Het is niet mogelijk om de configuratie van bestand %1 te laden."
"Method ""%1"" is not defined in ""%2""","Methode ""%1"" is niet gedefinieerd in ""%2"""
"To check out please sign in using your email address.","Om af te rekenen log in met uw e-mailadres."
"Remember Me","Onthoud mij"
"What's this?","Wat is dit?"
"Check &quot;Remember Me&quot; to access your shopping cart on this computer even if you are not signed in.","Vink &quot;Onthoud mij&quot; om uw winkelwagen op deze computer te raadplegen ook als u niet ingelogd bent."
"You saved the alert subscription.","U heeft het meldings abonnement opgeslagen."
"There are not enough parameters.","Er zijn niet genoeg parameters."
"We can't update the alert subscription right now.","We kunnen het meldings abonnement momenteel niet wijzigen."
"Alert subscription has been saved.","Notificatie is opgeslagen"
"You deleted the alert subscription.","U heeft het meldings abonnement verwijderd."
"We can't find the product.","We kunnen het product niet vinden."
"You will no longer receive price alerts for this product.","Voor dit product ontvangt u niet langer meldingen van prijswijzigingen"
"Unable to update the alert subscription.","Het opslaan van de notificatie is niet mogelijk"
"You will no longer receive stock alerts for this product.","Voor dit product ontvangt u niet langer meldingen van gewijzigde voorraadstatussen"
"The product was not found.","Dit product is niet gevonden"
"You will no longer receive stock alerts.","U ontvangt niet langer meldingen van gewijzigde voorraadstatussen"
"Invalid block type: %1","Ongeldig bloktype: %1"
"Price change alert! We wanted you to know that prices have changed for these products:","Melding bij wijziging van prijs! We willen u laten weten dat de prijzen voor deze producten veranderd zijn:"
Price:,Prijs:
"Click here to stop alerts for this product.","Klik hier om notificaties voor die product uit te schakelen."
"Unsubscribe from all price alerts","Opzeggen van alle prijsmeldingen"
"In stock alert! We wanted you to know that these products are now available:","In voorrraad melding! We wouden jou laten weten dat volgende producten nu weer in voorraad zijn:"
"Unsubscribe from all stock alerts","Opzeggen van alle voorraadmeldingen"
Url,URL
Title,Titel
Description,Beschrijving
"Preview Image","Afbeelding bekijken"
"Get Video Information","Video-informatie krijgen"
"Hide from Product Page","Verbergen van product pagina"
Role,Rol
"YouTube and Vimeo supported.","Youtube en Vimeo ondersteund."
"Vimeo supported.<br />To add YouTube video please <a href=""%1"">enter YouTube API Key</a> first.","Vimeo ondersteund.<br />Om een YouTube video toe te voegen gelieve eerst<a href=""%1"">uw YouTube API Key in te vullen</a>."
"Could not get preview image information. Please check your connection and try again.","Kan afbeelding voorvertoning niet ophalen. Controleer uw verbinding en probeer het opnieuw."
"Add Video","Video toevoegen"
"Browse to find or drag image here","Bladeren om de afbeelding te vinden of sleep de afbeelding hierheen"
"Delete video","Video verwijderen"
"Delete image","Verwijder afbeelding"
Hidden,Verborgen
"Alt Text",Alt-tekst
"Image Size",Afbeeldingsgrootte
"Image Resolution",Afbeeldingresolutie
"{width}^{height} px","{width} ^{height} px"
Title:,Titel:
Uploaded:,GeÃ¼pload:
Duration:,Duur:
"Unable to save address. Please check input data.","Kan het adres niet opslaan. Controleer de ingevoerde gegevens."
"Cart %1 doesn't contain products","Winkelwagen %1 bevat geen producten"
"Could not apply coupon code","Kortingscode kan niet worden toegepast"
"Coupon code is not valid","Couponcode is niet geldig"
